id,school_id,created_at,classroom_type
174,48,2015-08-25 22:49:23.630857,Primary
2645,862,2017-08-03 21:21:57.238632,Lower Elementary
3675,1099,2018-02-09 04:47:46.599757,Infant
3182,968,2017-09-29 21:14:21.740455,Primary
1436,443,2016-12-01 00:15:31.334513,Primary
1437,443,2016-12-01 00:15:44.034693,Lower Elementary
1438,443,2016-12-01 00:15:44.154509,Upper Elementary
1439,443,2016-12-01 00:15:44.334257,Adolescent
1440,443,2016-12-01 00:15:44.398259,Primary
3181,968,2017-09-29 21:14:21.698846,Primary
617,70,2016-06-23 19:11:34.403236,Children's House
3067,935,2017-09-11 16:00:08.638451,Elementary
2251,112,2017-06-12 15:38:58.983262,Toddler
2211,700,2017-06-07 20:31:37.461705,Primary Gr 1-3
330,60,2016-01-26 21:00:53.592516,Lower Elementary
3677,1099,2018-02-09 04:47:47.928947,Primary Casa
3672,1078,2018-02-08 20:51:06.570563,All School
1457,470,2016-12-12 19:53:19.254411,Lower Elementary
3676,1099,2018-02-09 04:47:46.636154,Toddler Casa
1450,468,2016-12-08 07:20:13.600495,Primary
2648,855,2017-08-04 16:08:24.111251,Upper Elementary
1434,460,2016-11-29 22:48:35.186682,Toddler
1451,468,2016-12-08 07:20:14.39468,Toddler
3189,275,2017-10-02 00:10:12.509436,Elementary
2631,859,2017-08-02 19:53:14.028447,Toddler
3180,968,2017-09-29 21:14:21.658791,Primary
295,81,2015-11-12 18:05:56.967689,Primary
346,105,2016-02-09 16:11:45.655721,Primary
2650,855,2017-08-04 16:08:25.048133,Primary
3673,162,2018-02-08 22:02:32.739545,Upper Elementary
1462,169,2016-12-28 17:43:19.967872,Adolescent
1463,169,2016-12-28 17:43:20.061855,Adolescent
3191,922,2017-10-02 16:05:20.512994,Upper Elementary
3674,162,2018-02-08 22:09:53.459148,Primary
132,23,2015-08-10 00:51:26.195947,Adolescent
572,227,2016-06-03 15:18:14.833827,Lower Elementary
1524,36,2017-01-19 05:26:00.41217,Lower Elementary
2600,220,2017-08-02 16:49:19.78805,Lower Elementary
1928,158,2017-04-14 00:38:13.082572,Primary
328,102,2016-01-26 01:05:10.847255,Primary
1694,526,2017-03-07 19:06:37.427968,Primary
3668,158,2018-02-06 21:44:07.629244,Toddler
351,108,2016-02-19 17:48:59.25971,Primary
388,87,2016-03-17 19:01:38.097518,Primary
343,104,2016-02-03 21:11:54.794041,Elementary
1556,485,2017-02-03 07:54:47.905891,Adolescent
131,23,2015-08-10 00:50:56.976426,Toddler
3109,660,2017-09-16 23:42:54.274899,Primary
3188,545,2017-10-01 18:24:54.492231,Primary
256,80,2015-09-17 21:27:31.40669,Lower Elementary
1433,208,2016-11-29 21:15:39.340068,Toddler
1602,510,2017-02-16 22:30:17.497134,Primary
1427,463,2016-11-21 20:34:59.808705,Lower Elementary
2475,515,2017-07-13 15:31:07.238963,Primary
1442,238,2016-12-02 01:19:57.199306,Upper Elementary
3680,224,2018-02-09 19:06:32.541538,Primary
3681,224,2018-02-09 19:11:40.311404,Primary
1430,465,2016-11-23 01:04:07.094887,Lower Elementary
1459,293,2016-12-19 15:32:27.225734,Upper Elementary
3671,221,2018-02-07 19:41:44.478405,Upper Elementary
277,89,2015-10-13 22:46:39.067282,Upper Elementary
186,67,2015-08-27 22:24:13.43186,Primary
3187,963,2017-09-30 06:06:07.89413,Primary
1040,367,2016-08-29 05:38:20.980203,Primary
1464,169,2016-12-28 17:43:28.332465,Upper Elementary
1465,169,2016-12-28 17:43:28.361696,Upper Elementary
1466,169,2016-12-28 17:43:28.406279,Upper Elementary
1467,169,2016-12-28 17:43:28.44313,Lower Elementary
1468,169,2016-12-28 17:43:28.477475,Lower Elementary
1470,169,2016-12-28 17:43:28.522617,Lower Elementary
1471,169,2016-12-28 17:43:30.007527,Primary
1472,169,2016-12-28 17:43:30.064936,Primary
1473,169,2016-12-28 17:43:30.079062,Primary
1474,169,2016-12-28 17:43:30.093813,Primary
3031,930,2017-09-06 16:44:00.291153,Toddler
1635,499,2017-02-25 00:34:12.6262,Elementary
1469,169,2016-12-28 17:43:28.498031,Lower Elementary
3679,534,2018-02-09 05:05:26.929062,Primary
2883,458,2017-08-24 13:19:51.404712,Lower Elementary
2647,855,2017-08-04 16:08:24.055282,Lower Elementary
2540,839,2017-07-27 16:39:52.977426,Lower Elementary
314,81,2016-01-07 07:09:04.529807,Lower Elementary
3155,951,2017-09-25 16:00:41.667021,Toddler
313,22,2016-01-06 23:17:18.154938,Toddler
1435,460,2016-11-29 22:48:52.144542,Infant
